category_name,category_id
Casual Encounters,1
Long-term Relationships,1
Open Relationships,1
Polyamory,1
Activity Partners,2
Platonic Friendships,2
Travel Companions,2
Female Escorts,3
Male Escorts,3
Transgender Escorts,3
Couple Escorts,3
Massage,4
Phone Sex Operators,4
Cam Models,4
Private Dancers & Strippers,4
Dominatrix & BDSM Services,4
Fetish & Kink Services,4
Role Playing,4
Sugar Babies,5
Sugar Mommas,5
Sugar Daddies,5
Swinger Parties,6
Fetish Events,6
Erotic Workshops,6
Adult Clubs & Bars,6
Live Shows & Performances,6
Adult Performers,7
Adult Modeling,7
Adult Film Production,7
Adult Content Creation,7
Adult Web Development & Design,7
Adult Toys & Products,8
Erotic Art & Literature,8
Adult DVDs & Media,8
Adult Clothing & Lingerie,8
Foot Fetish,9
Leather & Latex,9
Role Play & Costumes,9
BDSM Equipment,9
Body Modification,9
Advice & Counseling,10
Health & Wellness,10
LGBTQ+ Support,10
Sexual Education,11
Workshops & Classes,11
Coaching & Mentoring,11
Virtual Reality & Gaming,12
Sex Dolls & Robots,12
Erotic Fiction & Writing,12
