SEQUENCE;CODE;LEVEL;TITLE;GENERAL_NOTES;INCLUDES;ALSO_INCLUDES;EXCLUDES;CASELAW;UNITOFMEASURE
1;"084";1;Capital Region of Denmark;;;;;;
2;"01";2;Province City of Copenhagen;;;;;;
3;"101";3;København;;;;;;
4;"147";3;Frederiksberg;;;;;;
5;"155";3;Dragør;;;;;;
6;"185";3;Tårnby;;;;;;
7;"02";2;Province Copenhagen environs;;;;;;
8;"165";3;Albertslund;;;;;;
9;"151";3;Ballerup;;;;;;
10;"153";3;Brøndby;;;;;;
11;"157";3;Gentofte;;;;;;
12;"159";3;Gladsaxe;;;;;;
13;"161";3;Glostrup;;;;;;
14;"163";3;Herlev;;;;;;
15;"167";3;Hvidovre;;;;;;
16;"169";3;Høje-Taastrup;;;;;;
17;"183";3;Ishøj;;;;;;
18;"173";3;Lyngby-Taarbæk;;;;;;
19;"175";3;Rødovre;;;;;;
20;"187";3;Vallensbæk;;;;;;
21;"03";2;Province North Zealand;;;;;;
22;"201";3;Allerød;;;;;;
23;"240";3;Egedal;;;;;;
24;"210";3;Fredensborg;;;;;;
25;"250";3;Frederikssund;;;;;;
26;"190";3;Furesø;;;;;;
27;"270";3;Gribskov;;;;;;
28;"260";3;Halsnæs;;;;;;
29;"217";3;Helsingør;;;;;;
30;"219";3;Hillerød;;;;;;
31;"223";3;Hørsholm;;;;;;
32;"230";3;Rudersdal;;;;;;
33;"04";2;Province Bornholm;;;;;;
34;"400";3;Bornholm;;;;;;
35;"411";3;Christiansø;;;;;;
36;"085";1;Region Zealand;;;;;;
37;"05";2;Province East Zealand;;;;;;
38;"253";3;Greve;;;;;;
39;"259";3;Køge;;;;;;
40;"350";3;Lejre;;;;;;
41;"265";3;Roskilde;;;;;;
42;"269";3;Solrød;;;;;;
43;"06";2;Province West and South Zealand;;;;;;
44;"320";3;Faxe;;;;;;
45;"376";3;Guldborgsund;;;;;;
46;"316";3;Holbæk;;;;;;
47;"326";3;Kalundborg;;;;;;
48;"360";3;Lolland;;;;;;
49;"370";3;Næstved;;;;;;
50;"306";3;Odsherred;;;;;;
51;"329";3;Ringsted;;;;;;
52;"330";3;Slagelse;;;;;;
53;"340";3;Sorø;;;;;;
54;"336";3;Stevns;;;;;;
55;"390";3;Vordingborg;;;;;;
56;"083";1;Region of Southern Denmark;;;;;;
57;"07";2;Province Fyn;;;;;;
58;"420";3;Assens;;;;;;
59;"430";3;Faaborg-Midtfyn;;;;;;
60;"440";3;Kerteminde;;;;;;
61;"482";3;Langeland;;;;;;
62;"410";3;Middelfart;;;;;;
63;"480";3;Nordfyns;;;;;;
64;"450";3;Nyborg;;;;;;
65;"461";3;Odense;;;;;;
66;"479";3;Svendborg;;;;;;
67;"492";3;Ærø;;;;;;
68;"08";2;Province South Jutland;;;;;;
69;"530";3;Billund;;;;;;
70;"561";3;Esbjerg;;;;;;
71;"563";3;Fanø;;;;;;
72;"607";3;Fredericia;;;;;;
73;"510";3;Haderslev;;;;;;
74;"621";3;Kolding;;;;;;
75;"540";3;Sønderborg;;;;;;
76;"550";3;Tønder;;;;;;
77;"573";3;Varde;;;;;;
78;"575";3;Vejen;;;;;;
79;"630";3;Vejle;;;;;;
80;"580";3;Aabenraa;;;;;;
81;"082";1;Central Denmark Region;;;;;;
82;"09";2;Province East Jutland;;;;;;
83;"710";3;Favrskov;;;;;;
84;"766";3;Hedensted;;;;;;
85;"615";3;Horsens;;;;;;
86;"707";3;Norddjurs;;;;;;
87;"727";3;Odder;;;;;;
88;"730";3;Randers;;;;;;
89;"741";3;Samsø;;;;;;
90;"740";3;Silkeborg;;;;;;
91;"746";3;Skanderborg;;;;;;
92;"706";3;Syddjurs;;;;;;
93;"751";3;Aarhus;;;;;;
94;"10";2;Province West Jutland;;;;;;
95;"657";3;Herning;;;;;;
96;"661";3;Holstebro;;;;;;
97;"756";3;Ikast-Brande;;;;;;
98;"665";3;Lemvig;;;;;;
99;"760";3;Ringkøbing-Skjern;;;;;;
100;"779";3;Skive;;;;;;
101;"671";3;Struer;;;;;;
102;"791";3;Viborg;;;;;;
103;"081";1;North Denmark Region;;;;;;
104;"11";2;Province North Jutland;;;;;;
105;"810";3;Brønderslev;;;;;;
106;"813";3;Frederikshavn;;;;;;
107;"860";3;Hjørring;;;;;;
108;"849";3;Jammerbugt;;;;;;
109;"825";3;Læsø;;;;;;
110;"846";3;Mariagerfjord;;;;;;
111;"773";3;Morsø;;;;;;
112;"840";3;Rebild;;;;;;
113;"787";3;Thisted;;;;;;
114;"820";3;Vesthimmerlands;;;;;;
115;"851";3;Aalborg;;;;;;
