city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Copenhagen,55.6761,12.5683,Denmark,DK,Hovedstaden,primary,1366301,660842
Aarhus,56.1572,10.2107,Denmark,DK,Midtjylland,minor,290598,290598
Odense,55.3958,10.3886,Denmark,DK,Syddanmark,minor,182387,182387
Aalborg,57.0500,9.9167,Denmark,DK,Nordjylland,admin,143598,119862
Esbjerg,55.4833,8.4500,Denmark,DK,Syddanmark,minor,71921,71921
Randers,56.4570,10.0390,Denmark,DK,Midtjylland,minor,64057,64057
Horsens,55.8583,9.8500,Denmark,DK,Midtjylland,minor,63162,63162
Kolding,55.4917,9.5000,Denmark,DK,Syddanmark,minor,62338,62338
Vejle,55.7167,9.5333,Denmark,DK,Syddanmark,admin,61310,61310
Roskilde,55.6500,12.0833,Denmark,DK,Sjælland,minor,52580,52580
Herning,56.1333,8.9833,Denmark,DK,Midtjylland,minor,51193,51193
Silkeborg,56.1833,9.5517,Denmark,DK,Midtjylland,minor,50866,50866
Hørsholm,55.8803,12.5081,Denmark,DK,Hovedstaden,minor,47836,47836
Helsingør,56.0361,12.6083,Denmark,DK,Hovedstaden,minor,47563,47563
Næstved,55.2250,11.7583,Denmark,DK,Sjælland,minor,44996,44996
Viborg,56.4333,9.4000,Denmark,DK,Midtjylland,admin,42234,42234
Fredericia,55.5667,9.7500,Denmark,DK,Syddanmark,minor,41243,41243
Køge,55.4561,12.1797,Denmark,DK,Sjælland,minor,38588,38588
Holstebro,56.3572,8.6153,Denmark,DK,Midtjylland,minor,37022,37022
Taastrup,55.6500,12.3000,Denmark,DK,Hovedstaden,minor,36193,36193
Hillerød,55.9333,12.3167,Denmark,DK,Hovedstaden,admin,36043,36043
Slagelse,55.4049,11.3531,Denmark,DK,Sjælland,minor,34648,34648
Holbæk,55.7156,11.7225,Denmark,DK,Sjælland,minor,29960,29960
Sønderborg,54.9138,9.7922,Denmark,DK,Syddanmark,minor,28137,28137
Svendborg,55.0594,10.6083,Denmark,DK,Syddanmark,minor,27594,27594
Hjørring,57.4636,9.9814,Denmark,DK,Nordjylland,minor,25917,25917
Nørresundby,57.0667,9.9167,Denmark,DK,Nordjylland,,23718,23718
Ringsted,55.4425,11.7900,Denmark,DK,Sjælland,minor,23498,23498
Frederikshavn,57.4410,10.5340,Denmark,DK,Nordjylland,minor,22961,22961
Haderslev,55.2428,9.5250,Denmark,DK,Syddanmark,minor,22182,22182
Birkerød,55.8333,12.4333,Denmark,DK,Hovedstaden,,20853,20853
Farum,55.8083,12.3581,Denmark,DK,Hovedstaden,minor,20317,20317
Skive,56.5667,9.0333,Denmark,DK,Midtjylland,minor,20176,20176
Nykøbing Falster,54.7654,11.8755,Denmark,DK,Sjælland,minor,20105,20105
Skanderborg,56.0381,9.9253,Denmark,DK,Midtjylland,minor,20079,20079
Smørumnedre,55.7333,12.3000,Denmark,DK,Hovedstaden,,19780,19780
Nyborg,55.3122,10.7897,Denmark,DK,Syddanmark,minor,17900,17900
Vordingborg,55.0000,11.9000,Denmark,DK,Sjælland,minor,17868,17868
Solrød Strand,55.5167,12.2167,Denmark,DK,Sjælland,minor,17382,17382
Frederikssund,55.8333,12.0666,Denmark,DK,Hovedstaden,minor,17135,17135
Lillerød,55.8681,12.3417,Denmark,DK,Hovedstaden,,16836,16836
Middelfart,55.4986,9.7444,Denmark,DK,Syddanmark,minor,16546,16546
Kalundborg,55.6814,11.0850,Denmark,DK,Sjælland,minor,16486,16486
Ikast,56.1333,9.1500,Denmark,DK,Midtjylland,minor,16215,16215
Aabenraa,55.0444,9.4181,Denmark,DK,Syddanmark,minor,15685,15685
Hedehusene,55.6547,12.1953,Denmark,DK,Hovedstaden,,14868,14868
Korsør,55.3336,11.1397,Denmark,DK,Sjælland,,14418,14418
Grenaa,56.4161,10.8923,Denmark,DK,Midtjylland,minor,14179,14179
Varde,55.6200,8.4806,Denmark,DK,Syddanmark,minor,14108,14108
Rønne,55.0986,14.7014,Denmark,DK,Hovedstaden,minor,13798,13798
Thisted,56.9569,8.6944,Denmark,DK,Nordjylland,minor,13534,13534
Værløse,55.7819,12.3731,Denmark,DK,Hovedstaden,,13203,13203
Odder,55.9725,10.1497,Denmark,DK,Midtjylland,minor,12914,12914
Brønderslev,57.2694,9.9472,Denmark,DK,Nordjylland,minor,12884,12884
Frederiksværk,55.9667,12.0167,Denmark,DK,Hovedstaden,minor,12815,12815
Hedensted,55.7725,9.7017,Denmark,DK,Midtjylland,minor,12680,12680
Nakskov,54.8333,11.1500,Denmark,DK,Sjælland,,12456,12456
Dragør,55.5833,12.6667,Denmark,DK,Hovedstaden,minor,12327,12327
Haslev,55.3333,11.9667,Denmark,DK,Sjælland,minor,12280,12280
Hobro,56.6333,9.8000,Denmark,DK,Nordjylland,minor,12191,12191
Jyllinge,55.7511,12.1064,Denmark,DK,Sjælland,,10701,10701
Lystrup,56.2353,10.2375,Denmark,DK,Midtjylland,,10213,10213
Vejen,55.4774,9.1379,Denmark,DK,Syddanmark,minor,10206,10206
Struer,56.4856,8.5897,Denmark,DK,Midtjylland,minor,10112,10112
Ringkøbing,56.0897,8.2383,Denmark,DK,Midtjylland,minor,9975,9975
Humlebæk,55.9611,12.5250,Denmark,DK,Hovedstaden,,9855,9855
Støvring,56.8867,9.8286,Denmark,DK,Nordjylland,minor,9190,9190
Galten,56.1533,9.9069,Denmark,DK,Midtjylland,,9177,9177
Nykøbing Mors,56.7953,8.8592,Denmark,DK,Nordjylland,minor,9068,9068
Fredensborg,55.9750,12.4056,Denmark,DK,Hovedstaden,,8960,8960
Helsinge,56.0222,12.1972,Denmark,DK,Hovedstaden,minor,8906,8906
Sæby,57.3294,10.5322,Denmark,DK,Nordjylland,,8836,8836
Måløv,55.7500,12.3333,Denmark,DK,Hovedstaden,,8693,8693
Aars,56.8032,9.5177,Denmark,DK,Nordjylland,minor,8657,8657
Løgten,56.1643,10.1857,Denmark,DK,Midtjylland,,8651,8651
Hundested,55.9667,11.8500,Denmark,DK,Hovedstaden,,8520,8520
Hørning,56.0850,10.0364,Denmark,DK,Midtjylland,,8474,8474
Ribe,55.3283,8.7622,Denmark,DK,Syddanmark,,8365,8365
Hinnerup,56.2644,10.0633,Denmark,DK,Midtjylland,minor,8351,8351
Hadsten,56.3333,10.0500,Denmark,DK,Midtjylland,,8345,8345
Nivå,55.9336,12.5064,Denmark,DK,Hovedstaden,,8325,8325
Sorø,55.4333,11.5667,Denmark,DK,Sjælland,admin,8271,8271
Svenstrup,56.9767,9.8419,Denmark,DK,Nordjylland,,7754,7754
Tønder,54.9428,8.8639,Denmark,DK,Syddanmark,minor,7574,7574
Bjerringbro,56.3761,9.6565,Denmark,DK,Midtjylland,,7524,7524
Vojens,55.2483,9.3047,Denmark,DK,Syddanmark,,7480,7480
Ry,56.0922,9.7581,Denmark,DK,Midtjylland,,7382,7382
Ebeltoft,56.1936,10.6781,Denmark,DK,Midtjylland,,7289,7289
Bramming,55.4649,8.7068,Denmark,DK,Syddanmark,,7171,7171
Hammel,56.2567,9.8617,Denmark,DK,Midtjylland,,7019,7019
Fåborg,55.1000,10.2333,Denmark,DK,Syddanmark,,6898,6898
Lemvig,56.5500,8.3167,Denmark,DK,Midtjylland,minor,6827,6827
Slangerup,55.8467,12.1761,Denmark,DK,Hovedstaden,,6824,6824
Gilleleje,56.1167,12.3167,Denmark,DK,Hovedstaden,,6778,6778
Ringe,55.2375,10.4803,Denmark,DK,Syddanmark,minor,6607,6607
Aabybro,57.1500,9.7500,Denmark,DK,Nordjylland,minor,6559,6559
Skælskør,55.2539,11.2903,Denmark,DK,Sjælland,,6394,6394
Børkop,55.6419,9.6519,Denmark,DK,Syddanmark,,6353,6353
Hornslet,56.3158,10.3167,Denmark,DK,Midtjylland,,6328,6328
Assens,55.2667,9.9000,Denmark,DK,Syddanmark,minor,6061,6061
Kerteminde,55.4500,10.6667,Denmark,DK,Syddanmark,minor,6034,6034
Bellinge,55.3350,10.3133,Denmark,DK,Syddanmark,,5826,5826
Hellebæk,56.0694,12.5556,Denmark,DK,Hovedstaden,,5816,5816
Maribo,54.7747,11.5011,Denmark,DK,Sjælland,minor,5734,5734
Nibe,56.9819,9.6397,Denmark,DK,Nordjylland,,5539,5539
Hirtshals,57.5833,9.9500,Denmark,DK,Nordjylland,,5538,5538
Munkebo,55.4602,10.5560,Denmark,DK,Syddanmark,,5535,5535
Tune,55.5936,12.1700,Denmark,DK,Sjælland,,5347,5347
Otterup,55.5153,10.3986,Denmark,DK,Syddanmark,,5258,5258
Kjellerup,56.2847,9.4333,Denmark,DK,Midtjylland,,5223,5223
Fensmark,55.2778,11.8050,Denmark,DK,Sjælland,,5217,5217
Mårslet,56.0681,10.1611,Denmark,DK,Midtjylland,,5162,5162
Klarup,57.0125,10.0597,Denmark,DK,Nordjylland,,5158,5158
Nykøbing Sjælland,55.9250,11.6667,Denmark,DK,Sjælland,,5049,5049
Strøby Egede,55.4172,12.2431,Denmark,DK,Sjælland,,4984,4984
Hadsund,56.7167,10.1167,Denmark,DK,Nordjylland,,4983,4983
Strib,55.5375,9.7725,Denmark,DK,Syddanmark,,4858,4858
Vodskov,57.1084,10.0272,Denmark,DK,Nordjylland,,4821,4821
Viby,55.5511,12.0228,Denmark,DK,Sjælland,,4814,4814
Rudkøbing,54.9368,10.7097,Denmark,DK,Syddanmark,minor,4622,4622
Sakskøbing,54.8000,11.6333,Denmark,DK,Sjælland,,4590,4590
Havdrup,55.5451,12.1165,Denmark,DK,Sjælland,,4392,4392
Gråsten,54.9197,9.5919,Denmark,DK,Syddanmark,,4365,4365
Høng,55.5044,11.2919,Denmark,DK,Sjælland,,4359,4359
Kirke Hvalsø,55.5942,11.8594,Denmark,DK,Sjælland,minor,4340,4340
Jyderup,55.6600,11.3986,Denmark,DK,Sjælland,,4315,4315
Svogerslev,55.6342,12.0136,Denmark,DK,Sjælland,,4313,4313
Langeskov,55.3578,10.5856,Denmark,DK,Syddanmark,,4293,4293
Videbæk,56.0931,8.6325,Denmark,DK,Midtjylland,,4256,4256
Tarm,55.9067,8.5206,Denmark,DK,Midtjylland,,4104,4104
Bogense,55.5667,10.1000,Denmark,DK,Syddanmark,minor,4074,4074
Dianalund,55.5272,11.4981,Denmark,DK,Sjælland,,4057,4057
Juelsminde,55.7081,10.0008,Denmark,DK,Midtjylland,,4023,4023
Brædstrup,55.9715,9.6113,Denmark,DK,Midtjylland,,4005,4005
Løgstør,56.9667,9.2583,Denmark,DK,Nordjylland,,3972,3972
Præstø,55.1206,12.0436,Denmark,DK,Sjælland,,3893,3893
Assentoft,56.4407,10.1487,Denmark,DK,Midtjylland,,3822,3822
Virklund,56.1306,9.5592,Denmark,DK,Midtjylland,,3683,3683
Nexø,55.0625,15.1319,Denmark,DK,Hovedstaden,,3674,3674
Store Heddinge,55.3089,12.3873,Denmark,DK,Sjælland,minor,3649,3649
Gistrup,56.9978,9.9933,Denmark,DK,Nordjylland,,3630,3630
Hjortshøj,56.2478,10.2647,Denmark,DK,Midtjylland,,3619,3619
Taulov,55.5406,9.6111,Denmark,DK,Syddanmark,,3513,3513
Storvorde,57.0000,10.0833,Denmark,DK,Nordjylland,,3431,3431
Sabro,56.2117,10.0367,Denmark,DK,Midtjylland,,3308,3308
Rønde,56.3000,10.4833,Denmark,DK,Midtjylland,minor,3295,3295
Thurø By,55.0425,10.6822,Denmark,DK,Syddanmark,,3232,3232
Nørre Åby,55.4578,9.8775,Denmark,DK,Syddanmark,,3224,3224
Trige,56.2530,10.1480,Denmark,DK,Midtjylland,,3224,3224
Vallensbæk Strand,55.6361,12.3642,Denmark,DK,Hovedstaden,minor,456,456
Frederiksberg,55.6785,12.5221,Denmark,DK,Hovedstaden,minor,,
Søborg,55.7302,12.5098,Denmark,DK,Hovedstaden,minor,,
Hvidovre,55.6503,12.4758,Denmark,DK,Hovedstaden,minor,,
Rødovre,55.6827,12.4644,Denmark,DK,Hovedstaden,minor,,
Charlottenlund,55.7537,12.5918,Denmark,DK,Hovedstaden,minor,,
Herlev,55.7235,12.4404,Denmark,DK,Hovedstaden,minor,,
Kongens Lyngby,55.7718,12.5060,Denmark,DK,Hovedstaden,minor,,
Ballerup,55.7198,12.3520,Denmark,DK,Hovedstaden,minor,,
Glostrup,55.6666,12.4038,Denmark,DK,Hovedstaden,minor,,
Brøndby,55.6541,12.4215,Denmark,DK,Hovedstaden,minor,,
Albertslund,55.6623,12.3351,Denmark,DK,Hovedstaden,minor,,
Ishøj,55.6184,12.3281,Denmark,DK,Hovedstaden,minor,,
Allerød,55.8703,12.3574,Denmark,DK,Hovedstaden,minor,,
Holte,55.8167,12.4667,Denmark,DK,Hovedstaden,minor,,
Greve,55.5966,12.2492,Denmark,DK,Sjælland,minor,,
Kokkedal,55.9098,12.5152,Denmark,DK,Hovedstaden,minor,,
Kastrup,55.6352,12.6489,Denmark,DK,Hovedstaden,minor,,
Stenløse,55.7677,12.1960,Denmark,DK,Hovedstaden,minor,,
Ærøskøbing,54.8912,10.4083,Denmark,DK,Syddanmark,minor,,
Grindsted,55.7540,8.9123,Denmark,DK,Syddanmark,minor,,
Højby,55.9115,11.5976,Denmark,DK,Sjælland,minor,,
Tranebjerg,55.8326,10.5972,Denmark,DK,Midtjylland,minor,,
Byrum,57.2568,10.9974,Denmark,DK,Nordjylland,minor,,
